adm0_name,adm1_name,adm1_namechanged,adm1_code,adm1_pcod3,adm0_code,adm0_pcod3
Mali,Gao,Gao,1927,MLI007,155,MLI
Mali,Kayes,Kayes,1928,MLI001,155,MLI
Mali,Kidal,Kidal,1929,MLI008,155,MLI
Mali,Koulikoro,Koulikoro,1930,MLI002,155,MLI
Mali,Mopti,Mopti,1931,MLI005,155,MLI
Mali,Segou,Segou,1932,MLI004,155,MLI
Mali,Sikasso,Sikasso,1933,MLI003,155,MLI
Mali,Tombouctou,Tombouctou,1934,MLI006,155,MLI
Mauritania,Adrar,Adrar,2004,MRT001,159,MRT
Mauritania,Assaba,Assaba,2005,MRT002,159,MRT
Mauritania,Brakna,Brakna,2006,MRT003,159,MRT
Mauritania,Dakhlet-Nouadhibou,Dakhlet-Nouadhibou,2007,MRT004,159,MRT
Mauritania,Gorgol,Gorgol,2008,MRT005,159,MRT
Mauritania,Guidimakha,Guidimakha,2009,MRT006,159,MRT
Mauritania,Hodh Ech Chargi,Hodh Ech Chargi,2010,MRT007,159,MRT
Mauritania,Hodh El Gharbi,Hodh El Gharbi,2011,MRT008,159,MRT
Mauritania,Inchiri,Inchiri,2012,MRT009,159,MRT
Mauritania,Nouakchott,Nouakchott,2013,MRT010,159,MRT
Mauritania,Tagant,Tagant,2014,MRT011,159,MRT
Mauritania,Tiris-Zemmour,Tiris-Zemmour,2015,MRT012,159,MRT
Mauritania,Trarza,Trarza,2016,MRT013,159,MRT
Niger,Agadez,Agadez,2202,NER001,181,NER
Niger,Diffa,Diffa,2203,NER002,181,NER
Niger,Dosso,Dosso,2204,NER003,181,NER
Niger,Maradi,Maradi,2205,NER004,181,NER
Niger,Niamey,Niamey,2206,NER008,181,NER
Niger,Tahoua,Tahoua,2207,NER005,181,NER
Niger,Tillabery,Tillabery,2208,NER006,181,NER
Niger,Zinder,Zinder,2209,NER007,181,NER
Nigeria,Adamawa,Adamawa,2211,NGA002,182,NGA
Nigeria,Akwa Ibom,Akwa Ibom,2212,NGA003,182,NGA
Nigeria,Anambra,Anambra,2213,NGA004,182,NGA
Nigeria,Benue,Benue,2215,NGA007,182,NGA
Nigeria,Borno,Borno,2216,NGA008,182,NGA
Nigeria,Cross River,Cross River,2217,NGA009,182,NGA
Nigeria,Delta,Delta,2218,NGA010,182,NGA
Nigeria,Edo,Edo,2219,NGA012,182,NGA
Nigeria,Abuja,Abuja,2221,NGA015,182,NGA
Nigeria,Imo,Imo,2222,NGA017,182,NGA
Nigeria,Jigawa,Jigawa,2223,NGA018,182,NGA
Nigeria,Kaduna,Kaduna,2224,NGA019,182,NGA
Nigeria,Kano,Kano,2225,NGA020,182,NGA
Nigeria,Katsina,Katsina,2226,NGA021,182,NGA
Nigeria,Kebbi,Kebbi,2227,NGA022,182,NGA
Nigeria,Kogi,Kogi,2228,NGA023,182,NGA
Nigeria,Kwara,Kwara,2229,NGA024,182,NGA
Nigeria,Lagos,Lagos,2230,NGA025,182,NGA
Nigeria,Niger,Niger,2231,NGA027,182,NGA
Nigeria,Ogun,Ogun,2232,NGA028,182,NGA
Nigeria,Osun,Osun,2234,NGA030,182,NGA
Nigeria,Oyo,Oyo,2235,NGA031,182,NGA
Nigeria,Taraba,Taraba,2239,NGA035,182,NGA
Nigeria,Yobe,Yobe,2240,NGA036,182,NGA
Sao Tome and Principe,Principe,Principe,2620,STP001,NA,NA
Sao Tome and Principe,Sao Tome,Sao Tome,2621,STP002,NA,NA
Senegal,Dakar,Dakar,2636,SEN001,217,SEN
Senegal,Thies,Thies,2644,SEN013,217,SEN
Senegal,Ziguinchor,Ziguinchor,2645,SEN014,217,SEN
Togo,Centrale,Centrale,2970,TGO001,243,TGO
Togo,Kara,Kara,2971,TGO002,243,TGO
Togo,Maritime,Maritime,2972,TGO003,243,TGO
Togo,Plateaux,Plateaux,2973,TGO004,243,TGO
Togo,Savanes,Savanes,2974,TGO005,243,TGO
Chad,Batha,Batha,12904,TCD001,50,TCD
Chad,Ennedi-Est,Ennedi-Est,12906,TCD020,50,TCD
Chad,Borkou,Borkou,12907,TCD002,50,TCD
Chad,Ennedi Ouest,Ennedi Ouest,12908,TCD023,50,TCD
Chad,Tibesti,Tibesti,12909,TCD022,50,TCD
Chad,Chari-Baguirmi,Chari-Baguirmi,12910,TCD003,50,TCD
Chad,Hadjer-Lamis,Hadjer-Lamis,12911,TCD005,50,TCD
Chad,N'Djamena,N'Djamena,12912,TCD018,50,TCD
Chad,Barh-El-Gazel,Barh-El-Gazel,12914,TCD019,50,TCD
