adm0_name,adm0_code,adm0_pcod3
Burkina Faso,42,BFA
Mali,155,MLI
Mauritania,159,MRT
Niger,181,NER
Nigeria,182,NGA
Senegal,217,SEN
Chad,50,TCD
Benin,29,BEN
Cabo Verde,47,CPV
Gambia,90,GMB
Ghana,94,GHA
Guinea Bissau,105,GNB
Togo,243,TGO
Guinea,106,GIN
