adm0_name,adm0_code,adm0_pcod3,adm0_pcod2,adm1_name,adm1_code,adm1_pcod3,adm1_pcod2,adm2_name,adm2_code,adm2_pcod3,adm2_pcod2
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Banamba,19387,MLI002001,ML0201
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Dioila,19388,MLI002002,ML0202
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Kangaba,19389,MLI002003,ML0203
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Kati,19390,MLI002004,ML0204
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Kolokani,19391,MLI002005,ML0205
Mali,155,MLI,ML,Koulikoro,1930,MLI002,ML02,Nara,19393,MLI002007,ML0207
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Kenieba,19379,MLI001004,ML0104
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Bafoulabe,19376,MLI001001,ML0101
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Kita,19380,MLI001005,ML0105
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Kayes,19378,MLI001003,ML0103
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Diema,19377,MLI001002,ML0102
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Nioro,19381,MLI001006,ML0106
Mali,155,MLI,ML,Kayes,1928,MLI001,ML01,Yelimane,19382,MLI001007,ML0107
Mali,155,MLI,ML,Segou,1932,MLI004,ML04,Baroueli,19402,MLI004001,ML0401
Mali,155,MLI,ML,Segou,1932,MLI004,ML04,Bla,19403,MLI004002,ML0402
Mali,155,MLI,ML,Segou,1932,MLI004,ML04,Macina,19404,MLI004003,ML0403
Mali,155,MLI,ML,Segou,1932,MLI004,ML04,Niono,19405,MLI004004,ML0404
Mali,155,MLI,ML,Segou,1932,MLI004,ML04,San,19406,MLI004005,ML0405
Mali,155,MLI,ML,Segou,1932,MLI004,ML04,Segou,19407,MLI004006,ML0406
Mali,155,MLI,ML,Segou,1932,MLI004,ML04,Tominian,19408,MLI004007,ML0407
Mali,155,MLI,ML,Sikasso,1933,MLI003,ML03,Bougouni,19409,MLI003001,ML0301
Mali,155,MLI,ML,Sikasso,1933,MLI003,ML03,Kadiolo,19410,MLI003002,ML0302
Mali,155,MLI,ML,Sikasso,1933,MLI003,ML03,Kolondieba,19411,MLI003003,ML0303
Mali,155,MLI,ML,Sikasso,1933,MLI003,ML03,Koutiala,19412,MLI003004,ML0304
Mali,155,MLI,ML,Sikasso,1933,MLI003,ML03,Sikasso,19413,MLI003005,ML0305
Mali,155,MLI,ML,Sikasso,1933,MLI003,ML03,Yanfolila,19414,MLI003006,ML0306
Mali,155,MLI,ML,Sikasso,1933,MLI003,ML03,Yorosso,19415,MLI003007,ML0307
Mali,155,MLI,ML,Gao,1927,MLI007,ML07,Gao,19374,MLI007003,ML0703
Mali,155,MLI,ML,Gao,1927,MLI007,ML07,Ansongo,19372,MLI007001,ML0701
Mali,155,MLI,ML,Gao,1927,MLI007,ML07,Menaka,19375,MLI007004,ML0704
Mali,155,MLI,ML,Gao,1927,MLI007,ML07,Bourem,19373,MLI007002,ML0702
Mali,155,MLI,ML,Mopti,1931,MLI005,ML05,Mopti,19399,MLI005006,ML0506
Mali,155,MLI,ML,Mopti,1931,MLI005,ML05,Koro,19398,MLI005005,ML0505
Mali,155,MLI,ML,Mopti,1931,MLI005,ML05,Youwarou,19401,MLI005008,ML0508
Mali,155,MLI,ML,Mopti,1931,MLI005,ML05,Bankass,19395,MLI005002,ML0502
Mali,155,MLI,ML,Mopti,1931,MLI005,ML05,Bandiagara,19394,MLI005001,ML0501
Mali,155,MLI,ML,Mopti,1931,MLI005,ML05,Djenne,19396,MLI005003,ML0503
Mali,155,MLI,ML,Mopti,1931,MLI005,ML05,Douentza,19397,MLI005004,ML0504
Mali,155,MLI,ML,Mopti,1931,MLI005,ML05,Tenenkou,19400,MLI005007,ML0507
Mauritania,159,MRT,MR,Hodh Ech Chargi,2010,MRT007,MR07,NA,NA,NA,NA
Mauritania,159,MRT,MR,Hodh El Gharbi,2011,MRT008,MR08,NA,NA,NA,NA
Mauritania,159,MRT,MR,Assaba,2005,MRT002,MR02,NA,NA,NA,NA
Mauritania,159,MRT,MR,Tagant,2014,MRT011,MR11,NA,NA,NA,NA
Mauritania,159,MRT,MR,Brakna,2006,MRT003,MR03,NA,NA,NA,NA
Mauritania,159,MRT,MR,Gorgol,2008,MRT005,MR05,NA,NA,NA,NA
Mauritania,159,MRT,MR,Guidimakha,2009,MRT006,MR06,NA,NA,NA,NA
Mauritania,159,MRT,MR,Trarza,2016,MRT013,MR13,NA,NA,NA,NA
Mauritania,159,MRT,MR,Adrar,2004,MRT001,MR01,NA,NA,NA,NA
Mauritania,159,MRT,MR,Inchiri,2012,MRT009,MR09,NA,NA,NA,NA
Mauritania,159,MRT,MR,Tiris-Zemmour,2015,MRT012,MR12,NA,NA,NA,NA
Mauritania,159,MRT,MR,Dakhlet-Nouadhibou,2007,MRT004,MR04,NA,NA,NA,NA
Mauritania,159,MRT,MR,Nouakchott,2013,MRT010,MR10,NA,NA,NA,NA
Mali,155,MLI,ML,Bamako,1926,MLI009,ML09,Bamako,NA,NA,ML0901
Niger,181,NER,NE,Niamey,2206,NER008,NE08,NA,NA,NA,NA
Nigeria,182,NGA,NG,Adamawa,2211,NGA002,NG02,NA,NA,NA,NA
Nigeria,182,NGA,NG,Borno,2216,NGA008,NG08,NA,NA,NA,NA
Nigeria,182,NGA,NG,Jigawa,2223,NGA018,NG18,NA,NA,NA,NA
Nigeria,182,NGA,NG,Yobe,2240,NGA036,NG36,NA,NA,NA,NA
Chad,50,TCD,TD,Batha,12904,TCD001,TD01,NA,NA,NA,NA
Chad,50,TCD,TD,Chari-Baguirmi,12910,TCD003,TD03,NA,NA,NA,NA
Chad,50,TCD,TD,Logone Occidental,876,TCD008,TD08,NA,NA,NA,NA
Chad,50,TCD,TD,Hadjer-Lamis,12911,TCD005,TD05,NA,NA,NA,NA
Chad,50,TCD,TD,Barh-El-Gazel,12914,TCD019,TD19,NA,NA,NA,NA
Chad,50,TCD,TD,Logone Oriental,12918,TCD009,TD09,NA,NA,NA,NA
Chad,50,TCD,TD,Mandoul,12925,TCD010,TD10,NA,NA,NA,NA
Chad,50,TCD,TD,Lac,875,TCD007,TD07,NA,NA,NA,NA
Chad,50,TCD,TD,Guera,873,TCD004,TD04,NA,NA,NA,NA
Chad,50,TCD,TD,Sila,12927,TCD021,TD21,NA,NA,NA,NA
Chad,50,TCD,TD,Tandjile,12930,TCD016,TD16,NA,NA,NA,NA
Chad,50,TCD,TD,Mayo Kebbi Est,12921,TCD011,TD11,NA,NA,NA,NA
Chad,50,TCD,TD,Ouaddai,12926,TCD014,TD14,NA,NA,NA,NA
Chad,50,TCD,TD,Kanem,12915,TCD006,TD06,NA,NA,NA,NA
Chad,50,TCD,TD,Mayo-Kebbi Ouest,12922,TCD012,TD12,NA,NA,NA,NA
Chad,50,TCD,TD,Salamat,881,TCD015,TD15,NA,NA,NA,NA
Chad,50,TCD,TD,Wadi Fira,870,TCD017,TD17,NA,NA,NA,NA
Chad,50,TCD,TD,Moyen-Chari,12923,TCD013,TD13,NA,NA,NA,NA
Niger,181,NER,NE,Agadez,2202,NER001,NE01,Tchirozerine,123654,NER001006,NE0106
Niger,181,NER,NE,Agadez,2202,NER001,NE01,Aderbissinat,22553,NER001001,NE0101
Niger,181,NER,NE,Agadez,2202,NER001,NE01,Arlit,123656,NER001002,NE0102
