adm0_name,adm1_name,adm1_namechanged,adm1_code,adm1_pcod3,adm2_name,adm2_namechanged,adm2_code,adm2_pcod3,adm0_code,adm0_pcod3
Mali,Sikasso,Sikasso,1933,MLI003,Koutiala,Koutiala,19412,MLI003004,155,MLI
Mali,Sikasso,Sikasso,1933,MLI003,Sikasso,Sikasso,19413,MLI003005,155,MLI
Mali,Sikasso,Sikasso,1933,MLI003,Yanfolila,Yanfolila,19414,MLI003006,155,MLI
Mali,Sikasso,Sikasso,1933,MLI003,Yorosso,Yorosso,19415,MLI003007,155,MLI
Mali,Tombouctou,Tombouctou,1934,MLI006,Dire,Dire,19416,MLI006001,155,MLI
Mali,Tombouctou,Tombouctou,1934,MLI006,Goundam,Goundam,19417,MLI006002,155,MLI
Mali,Tombouctou,Tombouctou,1934,MLI006,Gourma-Rharous,Gourma-Rharous,19418,MLI006003,155,MLI
Mali,Tombouctou,Tombouctou,1934,MLI006,Niafunke,Niafunke,19419,MLI006004,155,MLI
Mali,Tombouctou,Tombouctou,1934,MLI006,Tombouctou,Tombouctou,19420,MLI006005,155,MLI
Mauritania,Adrar,Adrar,2004,MRT001,Aoujeft,Aoujeft,19490,MRT001001,159,MRT
Mauritania,Adrar,Adrar,2004,MRT001,Atar,Atar,19491,MRT001002,159,MRT
Mauritania,Assaba,Assaba,2005,MRT002,Barkeol,Barkeol,19494,MRT002001,159,MRT
Mauritania,Assaba,Assaba,2005,MRT002,Boumdeid,Boumdeid,19495,MRT002002,159,MRT
Mauritania,Assaba,Assaba,2005,MRT002,Guerrou,Guerrou,19496,MRT002003,159,MRT
Mauritania,Assaba,Assaba,2005,MRT002,Kankossa,Kankossa,19497,MRT002004,159,MRT
Mauritania,Assaba,Assaba,2005,MRT002,Kiffa,Kiffa,19498,MRT002005,159,MRT
Mauritania,Brakna,Brakna,2006,MRT003,Aleg,Aleg,19499,MRT003001,159,MRT
Mauritania,Brakna,Brakna,2006,MRT003,Bababe,Bababe,19500,MRT003002,159,MRT
Mauritania,Brakna,Brakna,2006,MRT003,Boghe,Boghe,19501,MRT003003,159,MRT
Mauritania,Brakna,Brakna,2006,MRT003,M'Bagne,M'Bagne,19502,MRT003005,159,MRT
Mauritania,Brakna,Brakna,2006,MRT003,Maghta Lahjar,Maghta Lahjar,19503,MRT003004,159,MRT
Mauritania,Dakhlet-Nouadhibou,Dakhlet-Nouadhibou,2007,MRT004,Nouadhibou,Nouadhibou,19504,MRT004000,159,MRT
Mauritania,Gorgol,Gorgol,2008,MRT005,Kaedi,Kaedi,19505,MRT005001,159,MRT
Mauritania,Gorgol,Gorgol,2008,MRT005,M'Bout,M'Bout,19506,MRT005003,159,MRT
Mauritania,Gorgol,Gorgol,2008,MRT005,Maghama,Maghama,19507,MRT005002,159,MRT
Mauritania,Gorgol,Gorgol,2008,MRT005,Monguel,Monguel,19508,MRT005004,159,MRT
Mauritania,Guidimakha,Guidimakha,2009,MRT006,Ould Yenge,Ould Yenge,19509,MRT006001,159,MRT
Mauritania,Guidimakha,Guidimakha,2009,MRT006,Selibaby,Selibaby,19510,MRT006002,159,MRT
Mauritania,Hodh Ech Chargi,Hodh Ech Chargi,2010,MRT007,Amourj,Amourj,19511,MRT007001,159,MRT
Mauritania,Hodh Ech Chargi,Hodh Ech Chargi,2010,MRT007,Bassikounou,Bassikounou,19512,MRT007002,159,MRT
Mauritania,Hodh Ech Chargi,Hodh Ech Chargi,2010,MRT007,Djigueni,Djigueni,19513,MRT007003,159,MRT
Mauritania,Hodh Ech Chargi,Hodh Ech Chargi,2010,MRT007,Nema,Nema,19514,MRT007004,159,MRT
Mauritania,Hodh Ech Chargi,Hodh Ech Chargi,2010,MRT007,Oualata,Oualata,19515,MRT007005,159,MRT
Mauritania,Hodh Ech Chargi,Hodh Ech Chargi,2010,MRT007,Timbedra,Timbedra,19516,MRT007006,159,MRT
Mauritania,Hodh El Gharbi,Hodh El Gharbi,2011,MRT008,Aioun,Aioun,19517,MRT008001,159,MRT
Mauritania,Hodh El Gharbi,Hodh El Gharbi,2011,MRT008,Kobeni,Kobeni,19518,MRT008002,159,MRT
Mauritania,Hodh El Gharbi,Hodh El Gharbi,2011,MRT008,Tamchekett,Tamchekett,19519,MRT008003,159,MRT
Mauritania,Hodh El Gharbi,Hodh El Gharbi,2011,MRT008,Tintane,Tintane,19520,MRT008004,159,MRT
Mauritania,Inchiri,Inchiri,2012,MRT009,Akjoujt,Akjoujt,19521,MRT009000,159,MRT
Mauritania,Nouakchott,Nouakchott,2013,MRT010,Nouakchott,Nouakchott,19522,MRT010010,159,MRT
Mauritania,Tagant,Tagant,2014,MRT011,Moudjeria,Moudjeria,19523,MRT011001,159,MRT
Mauritania,Tagant,Tagant,2014,MRT011,Tichitt,Tichitt,19524,MRT011002,159,MRT
Mauritania,Tagant,Tagant,2014,MRT011,Tidjikja,Tidjikja,19525,MRT011003,159,MRT
Mauritania,Tiris-Zemmour,Tiris-Zemmour,2015,MRT012,Bir Mogrein,Bir Mogrein,19526,MRT012001,159,MRT
Mauritania,Tiris-Zemmour,Tiris-Zemmour,2015,MRT012,F'Derik,F'Derik,19527,MRT012002,159,MRT
Mauritania,Tiris-Zemmour,Tiris-Zemmour,2015,MRT012,Zoueratt,Zoueratt,19528,MRT012003,159,MRT
Mauritania,Trarza,Trarza,2016,MRT013,Boutilimit,Boutilimit,19529,MRT013001,159,MRT
Mauritania,Trarza,Trarza,2016,MRT013,Keur-Macene,Keur-Macene,19530,MRT013002,159,MRT
Mauritania,Trarza,Trarza,2016,MRT013,Mederdra,Mederdra,19531,MRT013003,159,MRT
Mauritania,Trarza,Trarza,2016,MRT013,Ouad Naga,Ouad Naga,19532,MRT013004,159,MRT
Mauritania,Trarza,Trarza,2016,MRT013,R'kiz,R'kiz,19533,MRT013005,159,MRT
Mauritania,Trarza,Trarza,2016,MRT013,Rosso,Rosso,19534,MRT013006,159,MRT
Niger,Agadez,Agadez,NA,NER001,Iferouane,Iferouane,22551,NER001004,181,NER
Niger,Agadez,Agadez,NA,NER001,Bilma,Bilma,22552,NER001003,181,NER
Niger,Agadez,Agadez,NA,NER001,Aderbissinat,Aderbissinat,22553,NER001001,181,NER
Niger,Diffa,Diffa,NA,NER002,Diffa,Diffa,22554,NER002002,181,NER
Niger,Diffa,Diffa,NA,NER002,Goudoumaria,Goudoumaria,22555,NER002003,181,NER
Niger,Diffa,Diffa,NA,NER002,Ngourti,Ngourti,22556,NER002005,181,NER
Niger,Dosso,Dosso,NA,NER003,Falmey,Falmey,22557,NER003005,181,NER
Niger,Dosso,Dosso,NA,NER003,Tibiri,Tibiri,22558,NER003008,181,NER
