old_adm0_name,new_adm0_name
Benin,Benin
Burkina Faso,Burkina Faso
Cote d'Ivoire,NA
Cabo Verde,NA
Ghana,Ghana
Guinea,Guinea
Gambia,Gambia
Guinea-Bissau,Guinea-Bissau
Liberia,Liberia
MALI,Mali
Mauritania,Mauritania
Niger,Niger
Nigeria,Nigeria
Senegal,Senegal
Sierra Leone,NA
Chad,Chad
TOGO,Togo
Togo,Togo
