country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Central,"2,563,228",1,2435066.6,128161.4,0,0,0,0
Ghana,Eastern," 3,244,834 ",1,3082592.3,162241.7,0,0,0,0
Ghana,Greater Acrra," 4,943,075 ",1,4695921.25,247153.75,0,0,0,0
Ghana,Volta," 2,607,996 ",1,2477596.2,130399.8,0,0,0,0
Ghana,Western," 3,093,201 ",1,2938540.95,154660.05,0,0,0,0
Ghana,Ashanti," 5,792,187 ",1,5039202.69,752984.31,0,0,0,0
Ghana,Brong Ahafo," 2,850,607 ",1,2508534.16,342072.84,0,0,0,0
Ghana,Northern," 3,062,883 ",1,2511564.06,520690.11,30628.83,0,0,30628.83
Ghana,Upper East," 1,273,677 ",2,1006204.83,254735.4,12736.77,0,0,12736.77
Ghana,Upper West," 849,123 ",1,704772.09,135859.68,8491.23,0,0,8491.23
