country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Ghana,Central,2563228,1,2306905.2,256322.8,0,0,0,0
Ghana,Eastern,3244834,1,2920350.6,324483.4,0,0,0,0
Ghana,Greater Acrra,4943075,1,4448767.5,494307.5,0,0,0,0
Ghana,Volta,2607996,1,2347196.4,260799.6,0,0,0,0
Ghana,Western,3093201,1,2783880.9,309320.1,0,0,0,0
Ghana,Ashanti,5792187,1,5097124.56,695062.44,0,0,0,0
Ghana,Brong Ahafo,2850607,1,2565546.3,285060.7,0,0,0,0
Ghana,Northern,3062883,1,2634079.38,428803.62,0,0,0,0
Ghana,Upper East,1273677,1,1057151.91,203788.32,12736.77,0,0,12736.77
Ghana,Upper West,849123,1,730245.78,110385.99,8491.23,0,0,8491.23
