country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,SANTIAGO,PRAIA,155252,1,136621.76,15525.2,3105.04,0,0,3105.04
Cabo Verde,SANTIAGO,Rª G SANTIAGO,8437,1,7171.45,1012.44,253.11,0,0,253.11
Cabo Verde,SANTIAGO,S. DOMINGOS,14070,1,12100.2,1829.1,140.7,0,0,140.7
Cabo Verde,SANTIAGO,STA CRUZ,26277,1,22860.99,3153.24,262.77,0,0,262.77
Cabo Verde,SANTIAGO,S. L. ÓGÃOS,7079,1,6087.94,920.27,70.79,0,0,70.79
Cabo Verde,SANTIAGO,S. S. MUNDO,8642,1,7432.12,1123.46,86.42,0,0,86.42
Cabo Verde,S. Antao ,Ribeira Grande,16674,2,11671.8,4168.5,833.7,0,0,833.7
Cabo Verde,S. Antao ,Porto Novo ,17308,2,12807.92,3807.76,692.32,0,0,692.32
Cabo Verde,S. Antao ,Paul,5940,2,4692.6,1128.6,118.8,0,0,118.8
Cabo Verde,S. Nicolau,Ribeira Brava,7108,1,5970.72,1066.2,71.08,0,0,71.08
Cabo Verde,S. Nicolau,Tarrafal,5233,1,4291.06,889.61,52.33,0,0,52.33
Cabo Verde,Santiago,Tarrafal,18264,1,15341.76,2739.6,182.64,0,0,182.64
Cabo Verde,SANTIAGO,Santa Catarina,45122.86689,1,37451.97951,6768.430033,902.4573377,0,0,902.4573377
Cabo Verde,SANTIAGO,São Miguel,14670.72843,1,12029.99731,2347.316548,293.4145685,0,0,0
Cabo Verde,FOGO,São Filipe,21194.32201,1,17167.40083,3603.034741,423.8864402,0,0,423.8864402
Cabo Verde,FOGO,Mosteiros,9363.669551,1,7865.482423,1404.550433,93.63669551,0,0,93.63669551
Cabo Verde,FOGO,Santa Catarina,5279.250687,2,4065.023029,1003.05763,211.1700275,0,0,211.1700275
Cabo Verde,MAIO,Maio,6980.181531,1,5653.94704,1116.829045,209.4054459,0,0,209.4054459
Cabo Verde,BRAVA,Brava,5697.795211,1,4729.170025,911.6472337,56.97795211,0,0,56.97795211
