country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,S. Nicolau,R. Brava,7347,1,6244.95,734.7,367.35,0,0,367.35
Cabo Verde,S. Nicolau,Tarrafal,5254,1,4465.9,525.4,262.7,0,0,262.7
Cabo Verde,Sal,Sal,30655,2,23604.35,3985.15,3065.5,0,0,3065.5
Cabo Verde,Santo Antao,Ribeira Grande,18886,1,15486.52,1888.6,1510.88,0,0,1510.88
Cabo Verde,Santo Antao,Paul,6697,1,5558.51,803.64,334.85,0,0,334.85
Cabo Verde,Santo Antao,Porto Novo,18026,2,11716.9,4506.5,1802.6,0,0,1802.6
Cabo Verde,SANTIAGO,Santa Catarina,44387,1,39948.3,3550.96,887.74,0,0,887.74
Cabo Verde,SANTIAGO,São Miguel,15067,2,10546.9,3013.4,1506.7,0,0,1506.7
Cabo Verde,SANTIAGO,Praia,131602,1,107913.64,19740.3,3948.06,0,0,3948.06
Cabo Verde,SANTIAGO,S.Lourenço dos Órgãos,7233,1,6148.05,723.3,361.65,0,0,361.65
Cabo Verde,FOGO,São Filipe,21587.3898858487,1,19428.6508972639,1726.9911908679,431.747797716975,0,0,431.747797716975
Cabo Verde,FOGO,Mosteiros,9428,1,8013.8,942.8,471.4,0,0,471.4
Cabo Verde,FOGO,Santa Catarina,5299,1,4504.15,529.9,264.95,0,0,264.95
Cabo Verde,MAIO,Maio,6932,2,5199,1039.8,693.2,0,0,693.2
Cabo Verde,BRAVA,Brava,5823,1,5182.47,524.07,116.46,0,0,116.46
Cabo Verde,Santiago,Praia ,131602,1,107913.64,3948.06,19740.3,0,0,19740.3
Cabo Verde,Santiago,Ribeira GST,8325,2,6243.75,1248.75,832.5,0,0,832.5
Cabo Verde,Santiago,S: Cruz,26609,1,25278.55,798.27,532.18,0,0,532.18
Cabo Verde,Santiago,Tarrafal,18565,2,13923.75,2784.75,1856.5,0,0,1856.5
Cabo Verde,Santiago,S. Domingos,13808,2,10356,2071.2,1380.8,0,0,1380.8
Cabo Verde,S.Vicente,Mindelo,76107,2,57080.25,11416.05,7610.7,0,0,7610.7
Cabo Verde,Boa Vista,Boa Vista,9162,2,6871.5,1374.3,916.2,0,0,916.2
