country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,Boa Vista,Boa Vista,13376.233646303,1,12439.8972910618,936.336355241212,0,0,,0
Cabo Verde,BRAVA,Brava,5759.87706198267,1,5414.28443826371,345.59262371896,0,0,,0
Cabo Verde,FOGO,São Filipe,21383.7030483466,1,20100.6808654458,1283.0221829008,0,0,,0
Cabo Verde,FOGO,Mosteiros,9394.02684328279,2,7515.22147462623,1878.80536865656,0,0,,0
Cabo Verde,FOGO,Santa Catarina de Fogo,5290,2,4179.1,1058,52.9,0,,52.9
Cabo Verde,MAIO,Maio,6946.78540034736,2,5487.96046627441,1389.35708006947,69.4678540034736,0,,69.4678540034736
Cabo Verde,S. Nicolau,R. Brava,7261.95026391298,1,6753.61374543907,508.336518473908,0,0,,0
Cabo Verde,S. Nicolau,Tarrafal,5249.3759467348,1,4881.91963046336,367.456316271436,0,0,,0
Cabo Verde,S.Vicente,S.Vicente,80140.1674786937,1,74530.3557551852,5609.81172350856,0,0,,0
Cabo Verde,Sal,Sal,32207.7480678696,1,29953.2057031188,2254.54236475087,0,0,,0
Cabo Verde,Santiago,S. Cruz,26436.0927464536,1,24849.9271816664,1586.16556478722,0,0,,0
Cabo Verde,Santiago,Praia,147607.379429037,1,138750.936663295,8856.44276574222,0,0,,0
Cabo Verde,Santiago,Tarrafal,18366.7617669146,1,17448.4236785688,918.338088345728,0,0,,0
Cabo Verde,Santiago,Santa Catarina,44745.3758090726,1,42955.5607767097,1789.8150323629,0,0,,0
Cabo Verde,Santiago,São Miguel,14866.620527271,2,11447.2978059987,3270.65651599962,148.66620527271,0,,148.66620527271
Cabo Verde,Santiago,São Domingos,14003.6071831803,1,12603.2464648623,1400.36071831803,0,0,,0
Cabo Verde,Santiago,Sao salvadordo Mundo,8661.07799821688,1,8141.41331832386,519.664679893013,0,,,
Cabo Verde,Santiago,São Lourenço dos Órgãos,7179.02120352115,1,6676.48971927467,502.531484246481,0,0,,0
Cabo Verde,Santiago,Ribeira Grande de Santiago,8399.0535435844,2,6719.24283486752,1595.82017328104,83.990535435844,0,,83.990535435844
Cabo Verde,Santo Antao,Ribeira Grande,17375.0531711284,1,15637.5478540156,1737.50531711284,0,0,,0
Cabo Verde,Santo Antao,Paul,6261.23377928498,2,5008.98702342799,1252.246755857,0,0,,0
Cabo Verde,Santo Antao,Porto Novo,17555.7529006164,2,13869.044791487,3511.15058012329,175.557529006164,0,,175.557529006164
