country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,Boa Vista,Boa Vista,"17,708",1,"15,229","2,302",177,0,0,177
Cabo Verde,SANTIAGO,Praia,"162,814",1,"143,276","17,910","1,628",0,0,"1,628"
Cabo Verde,SANTIAGO,Rª Gde Santiago,"8,488",1,"6,875","1,528",85,0,0,85
Cabo Verde,SANTIAGO,São Domingos,"14,135",1,"11,591","2,403",141,0,0,141
Cabo Verde,SANTIAGO,São L. Órgãos,"6,990",1,"5,872","1,049",70,0,0,70
Cabo Verde,SANTIAGO,Sta. Cruz,"26,100",1,"21,924","3,915",261,0,0,261
Cabo Verde,SANTIAGO,São S. Mundo,"8,620",1,"6,982","1,552",86,0,0,86
Cabo Verde,SANTIAGO,SANTA CATARINA,"46,337",1,"39,386","6,024",927,0,0,927
Cabo Verde,SANTIAGO,SÃO MIGUEL,"14,121",1,"11,579","2,118",424,0,0,424
Cabo Verde,SANTIAGO,TARRAFAL ST,"18,172",1,"14,901","2,908",363,0,0,363
Cabo Verde,FOGO,SÃO FILIPE,"20,688",1,"17,378","2,896",414,0,0,414
Cabo Verde,FOGO,MOSTEIROS,"9,286",1,"8,172","1,021",93,0,0,93
Cabo Verde,FOGO,SANTA CATARINA,"5,240",1,"4,402",734,105,0,0,105
Cabo Verde,MAIO,MAIO,"7,215",1,"5,916","1,082",216,0,0,216
Cabo Verde,BRAVA,BRAVA,"5,521",1,"4,638",828,55,0,0,55
Cabo Verde,S. ANTAO ,RIBEIRA GRANDE,"16,034",1,"13,629","2,084",321,0,0,321
Cabo Verde,S. ANTAO ,PORTO NOVO,"17,068",2,"12,289","4,096",683,0,0,683
Cabo Verde,S. ANTAO ,PAUL,"5,648",1,"4,744",791,113,0,0,113
Cabo Verde,S. NICOLAU,RIBEIRA BRAVA,"6,965",1,"5,920",905,139,0,0,139
Cabo Verde,S. NICOLAU,TARRAFAL SN,"5,217",1,"4,330",783,104,0,0,104
Cabo Verde,SÃO  VICENTE ,SÃO VICENTE,"83,468",1,"71,782","10,016","1,669",0,0,"1,669"
Cabo Verde,SAL,SAL,"38,246",1,"33,656","4,207",382,0,0,382
