country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,Boa Vista,Boa Vista,"17,708",1,"15,406","2,125",177,0,0,177
Cabo Verde,SANTIAGO,Praia,"162,814",1,"143,276","17,910","1,628",0,0,"1,628"
Cabo Verde,SANTIAGO,Rª Gde Santiago,"8,488",2,"6,706","1,613",170,0,0,170
Cabo Verde,SANTIAGO,São Domingos,"14,135",2,"11,025","2,827",283,0,0,283
Cabo Verde,SANTIAGO,São L. Órgãos,"6,990",1,"5,872","1,049",70,0,0,70
Cabo Verde,SANTIAGO,Sta. Cruz,"26,100",1,"21,663","4,176",261,0,0,261
Cabo Verde,SANTIAGO,São S. Mundo,"8,620",2,"6,551","1,810",259,0,0,259
Cabo Verde,SANTIAGO,SANTA CATARINA,"46,337",1,"37,996","7,414",927,0,0,927
Cabo Verde,SANTIAGO,SÃO MIGUEL,"14,121",1,"11,438","2,259",424,0,0,424
Cabo Verde,SANTIAGO,TARRAFAL ST,"18,172",1,"14,538","3,271",363,0,0,363
Cabo Verde,FOGO,SÃO FILIPE,"20,688",1,"16,964","3,310",414,0,0,414
Cabo Verde,FOGO,MOSTEIROS,"9,286",1,"7,893","1,207",186,0,0,186
Cabo Verde,FOGO,SANTA CATARINA,"5,240",1,"4,244",838,157,0,0,157
Cabo Verde,MAIO,MAIO,"7,215",1,"5,844","1,154",216,0,0,216
Cabo Verde,BRAVA,BRAVA,"5,521",1,"4,582",883,55,0,0,55
Cabo Verde,S. ANTAO ,RIBEIRA GRANDE,"16,034",1,"13,469","2,245",321,0,0,321
Cabo Verde,S. ANTAO ,PORTO NOVO,"17,068",2,"11,948","4,438",683,0,0,683
Cabo Verde,S. ANTAO ,PAUL,"5,648",1,"4,688",847,113,0,0,113
Cabo Verde,S. NICOLAU,RIBEIRA BRAVA,"6,965",1,"5,781","1,045",139,0,0,139
Cabo Verde,S. NICOLAU,TARRAFAL SN,"5,217",1,"4,226",887,104,0,0,104
Cabo Verde,SÃO  VICENTE ,SÃO VICENTE,"83,468",1,"70,948","10,851","1,669",0,0,"1,669"
Cabo Verde,SAL,SAL,"38,246",1,"33,656","4,207",382,0,0,382
