country,region,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cabo Verde,SANTIAGO,Praia,162814,1,135135.62,27678.38,0,0,0,0
Cabo Verde,SANTIAGO,Rª Grande ,8488,2,5092.8,2546.4,848.8,0,0,848.8
Cabo Verde,SANTIAGO,São Domingos,14135,2,9470.45,3533.75,1130.8,0,0,1130.8
Cabo Verde,SANTIAGO,S. L. Órgãos,6990,2,4403.7,1957.2,629.1,0,0,629.1
Cabo Verde,SANTIAGO,Sta Cruz,26100,2,14877,8091,3132,0,0,3132
Cabo Verde,SANTIAGO,S. S. Mundo,8620,2,5258.2,2586,775.8,0,0,775.8
Cabo Verde,SANTIAGO,TARRAFAL ST,18217.1389137885,1,14755.8825201687,3096.91361534405,364.34277827577,0,0,364.34277827577
Cabo Verde,SANTIAGO,SANTA CATARINA,46337,2,34289.38,10194.14,1853.48,0,0,1853.48
Cabo Verde,SANTIAGO,SÃO MIGUEL,14121,2,9178.65,3530.25,1412.1,0,0,1412.1
Cabo Verde,BOA VISTA,Boa Vista,17708,1,14520.56,3187.44,0,0,0,0
Cabo Verde,S. ANTAO ,RIBEIRA GRANDE,16034,1,12987.54,2405.1,641.36,0,0,641.36
Cabo Verde,S. ANTAO ,PORTO NOVO,17068,3,6997.88,6485.84,3584.28,0,0,3584.28
Cabo Verde,S. ANTAO ,PAUL,5648,1,4518.4,960.16,112.96,56.48,0,169.44
Cabo Verde,S. NICOLAU,RIBEIRA BRAVA,6965,2,5641.65,1184.05,139.3,0,0,139.3
Cabo Verde,S. NICOLAU,TARRAFAL SN,5217,2,2973.69,1721.61,521.7,0,0,521.7
Cabo Verde,SÃO  VICENTE ,SÃO VICENTE,83468,1,68443.76,12520.2,2504.04,0,0,2504.04
Cabo Verde,SAL,SAL,38246,1,31744.18,6119.36,382.46,0,0,382.46
Cabo Verde,FOGO,SÃO FILIPE,20688,2,14688.48,4758.24,1241.28,0,0,1241.28
Cabo Verde,FOGO,MOSTEIROS,9286,1,7614.52,1392.9,278.58,0,0,278.58
Cabo Verde,FOGO,SANTA CATARINA,5240,2,3772.8,1100.4,366.8,0,0,366.8
Cabo Verde,MAIO,MAIO,7215,2,5050.5,1587.3,577.2,0,0,577.2
Cabo Verde,BRAVA,BRAVA,5521,2,3919.91,1325.04,276.05,0,0,276.05
