country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Guinea-Bissau,BIOMBO,104092,1,84314.52,19777.48,0,0,0,0
Guinea-Bissau,CACHEU,202217,2,145596.24,52576.42,4044.34,0,0,4044.34
Guinea-Bissau,TOMBALI,99734,2,75797.84,23936.16,0,0,0,0
Guinea-Bissau,OIO ,237553,2,178164.75,47510.6,11877.65,0,0,11877.65
Guinea-Bissau,QUINARA,67463,1,57343.55,6746.3,3373.15,0,0,3373.15
Guinea-Bissau,BOLAMA,34873,1,29642.05,4533.49,697.46,0,0,697.46
Guinea-Bissau,BAFATA,221689,1,186218.76,33253.35,2216.89,0,0,2216.89
Guinea-Bissau,GABU,233638,1,193919.54,39718.46,0,0,0,0
