country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Guinea-Bissau,Bafata,233876,2,"184,762","44,436","4,678",0,0,"4,678"
Guinea-Bissau,Biombo,112095,2,"86,313","16,814",8967.6,0,0,8967.6
Guinea-Bissau,Bolama,36289,2,"22,499","11,250",2540.23,0,0,2540.23
Guinea-Bissau,Cacheu,210208,2,"149,248","56,756","4,204",0,0,"4,204"
Guinea-Bissau,Gabu,257538,2,"188,003","51,508","18,028",0,0,"18,028"
Guinea-Bissau,Oio,250512,2,"175,358","50,102","25,051",0,0,"25,051"
Guinea-Bissau,Quinara,71808,2,"44,521","20,106","7,181",0,0,"7,181"
Guinea-Bissau,Tombali,103981,2,"74,866","20,796","8,318",0,0,"8,318"
