country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Guinea-Bissau,BAFATA,217770,2,169860.6,39198.6,8710.8,0,0,8710.8
Guinea-Bissau,GABU,226174,2,178677.46,36187.84,11308.7,0,0,11308.7
Guinea-Bissau,QUINARA,66080,1,56828.8,9251.2,0,0,0,0
Guinea-Bissau,TOMBALI,98357,1,88521.3,9835.7,0,0,0,0
Guinea-Bissau,BOLAMA,34873,2,19528.88,10461.9,4882.22,0,0,4882.22
Guinea-Bissau,BIOMBO,101553,2,81242.4,19295.07,1015.53,0,0,1015.53
Guinea-Bissau,CACHEU,199623,1,179660.7,19962.3,0,0,0,0
Guinea-Bissau,OIO,233352,1,198349.2,35002.8,0,0,0,0
