country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Gambia,West Coast Region,803424.42,2,482054.652,257095.8144,64273.9536,0,0,64273.9536
Gambia,Lower River Region,84683,1,76214.7,5080.98,3387.32,0,0,3387.32
Gambia,North Bank Region,236889.9,2,130289.445,82911.465,23688.99,0,0,23688.99
Gambia,Central River Region (N),103719,1,84012.39,15557.85,4148.76,0,0,4148.76
Gambia,Central River Region (S),133887.24,1,116481.8988,14727.5964,2677.7448,0,0,2677.7448
Gambia,Upper River Region,258609.78,1,219818.313,36205.3692,2586.0978,0,0,2586.0978
