country,adm1,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Gambia,LRR,84008,2,58805.6,22682.16,2520.24,0,0,2520.24
Gambia,WCR,713698,2,428218.8,256931.28,28547.92,0,0,28547.92
Gambia,CRR n,101090,2,70763,27294.3,3032.7,0,0,3032.7
Gambia,CRR s,129448,2,90613.6,32362,6472.4,0,0,6472.4
Gambia,URR,244714,3,85649.9,110121.3,48942.8,0,0,48942.8
Gambia,NBR,225475,2,157832.5,60878.25,6764.25,0,0,6764.25
Gambia,BJL,31927,,0,0,0,0,0,0
Gambia,KMC,389738,,0,0,0,0,0,0
