country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35,status
Nigeria,Benue,BURUKU,304576,1,258889.6,42640.64,3045.76,0,0,3045.76,outofcamp
Nigeria,Benue,TARKA,117095,1,99530.75,16393.3,1170.95,0,0,1170.95,outofcamp
Nigeria,Benue,APA,142942,1,127218.38,14294.2,1429.42,0,0,1429.42,outofcamp
Nigeria,Benue,ADO,272339,1,242381.71,27233.9,2723.39,0,0,2723.39,outofcamp
Nigeria,Benue,AGATU,170735,1,151954.15,17073.5,1707.35,0,0,1707.35,outofcamp
Nigeria,Benue,OGBADIBO,193467,1,172185.63,19346.7,1934.67,0,0,1934.67,outofcamp
Nigeria,Benue,OTUKPO,393484,1,350200.76,39348.4,3934.84,0,0,3934.84,outofcamp
Nigeria,Benue,OBI,145788,1,129751.32,14578.8,1457.88,0,0,1457.88,outofcamp
Nigeria,Benue,OJU,248858,1,127218.38,14294.2,1429.42,0,0,1429.42,outofcamp
Nigeria,Benue,OKPOKWU,259352,1,242381.71,27233.9,2723.39,0,0,2723.39,outofcamp
Nigeria,Benue,OHIMINI,104405,1,151954.15,17073.5,1707.35,0,0,1707.35,outofcamp
Nigeria,Borno,Kukawa,0,0,0,0,0,0,0,0,outofcamp
Nigeria,Borno,Mongono,70988,3,21296.4,28395.2,17747,3549.4,0,21296.4,outofcamp
Nigeria,Borno,Kaga,125459,2,50183.6,56456.55,18818.85,0,0,18818.85,outofcamp
Nigeria,Borno,Magumeri,247444,3,37116.6,98977.6,74233.2,37116.6,0,111349.8,outofcamp
Nigeria,Borno,Nganzai,147991,3,22198.65,51796.85,51796.85,22198.65,0,73995.5,outofcamp
Nigeria,Borno,Mobbar,175015,3,29752.55,73506.3,52504.5,19251.65,0,71756.15,outofcamp
Nigeria,Borno,Gubio,180569,3,19862.59,57782.08,75838.98,27085.35,0,102924.33,outofcamp
Nigeria,Borno,Guzamala,0,0,0,0,0,0,0,0,outofcamp
Nigeria,Borno,Bama,122940,3,24588,36882,43029,18441,0,61470,outofcamp
