country,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35,status
Nigeria,Niger,Kontagora,240314,1,201863.76,33643.96,4806.28,0,0,4806.28,outofcamp
Nigeria,Benue,UKUM,320480,1,277215.2,38457.6,4807.2,0,0,4807.2,outofcamp
Nigeria,Jigawa,M/MADORI,240562,1,206883.32,28867.44,4811.24,0,0,4811.24,outofcamp
Nigeria,Sokoto,WURNO,241889,1,212862.32,24188.9,4837.78,0,0,4837.78,outofcamp
Nigeria,Benue,BURUKU,304576,1,250970.624,48732.16,4873.216,0,0,4873.216,outofcamp
Nigeria,Sokoto,ISA,244893,1,215505.84,24489.3,4897.86,0,0,4897.86,outofcamp
Nigeria,Niger,Edati,246849,1,199947.69,41964.33,4936.98,0,0,4936.98,outofcamp
Nigeria,Sokoto,BODINGA,248636,1,208854.24,34809.04,4972.72,0,0,4972.72,outofcamp
Nigeria,Sokoto,SHAGARI,249349,1,209453.16,34908.86,4986.98,0,0,4986.98,outofcamp
Nigeria,Kebbi,ZURU,249654,1,204716.28,39944.64,4993.08,0,0,4993.08,outofcamp
Nigeria,Benue,KATSINA-ALA,333016,1,288058.84,39961.92,4995.24,0,0,4995.24,outofcamp
Nigeria,Benue,KONSHISHA,334524,1,289363.26,40142.88,5017.86,0,0,5017.86,outofcamp
Nigeria,Jigawa,KIYAWA,252475,1,217128.5,30297,5049.5,0,0,5049.5,outofcamp
Nigeria,Bauchi,Alkaleri,508771,1,412104.51,91578.78,5087.71,0,0,5087.71,outofcamp
Nigeria,Gombe,Akko,508820,1,463026.2,40705.6,5088.2,0,0,5088.2,outofcamp
Nigeria,Benue,AGATU,170735,1,138295.35,27317.6,5122.05,0,0,5122.05,outofcamp
Nigeria,Benue,OHIMINI,104405,1,84568.05,27317.6,5122.05,0,0,5122.05,outofcamp
Nigeria,Benue,VANDEIKYA,346501,1,299723.365,41580.12,5197.515,0,0,5197.515,outofcamp
Nigeria,Niger,Borgu,266956,1,224243.04,37373.84,5339.12,0,0,5339.12,outofcamp
Nigeria,Sokoto,SABON BIRNI,267893,1,235745.84,26789.3,5357.86,0,0,5357.86,outofcamp
Nigeria,Plateau,Kanke,179064,1,153995.04,19697.04,5371.92,0,0,5371.92,outofcamp
Nigeria,Sokoto,DANGE SHUNI,268750,1,225750,37625,5375,0,0,5375,outofcamp
Nigeria,Bauchi,Toro,541173,1,438350.13,97411.14,5411.73,0,0,5411.73,outofcamp
Nigeria,Niger,Rijau,272285,1,228719.4,38119.9,5445.7,0,0,5445.7,outofcamp
Nigeria,Bauchi,Jamaare,182062,2,140187.74,36412.4,5461.86,0,0,5461.86,outofcamp
Nigeria,Benue,KWANDE,367239,1,317661.735,44068.68,5508.585,0,0,5508.585,outofcamp
Nigeria,Katsina,Charanchi,184900,1,149769,29584,5547,0,0,5547,outofcamp
Nigeria,Niger,Magama,280296,1,235448.64,39241.44,5605.92,0,0,5605.92,outofcamp
Nigeria,Jigawa,K/KASAMMA,281133,1,241774.38,33735.96,5622.66,0,0,5622.66,outofcamp
Nigeria,Jigawa,GWIWA,187920,1,157852.8,24429.6,5637.6,0,0,5637.6,outofcamp
Nigeria,Sokoto,GORONYO,284933,1,250741.04,28493.3,5698.66,0,0,5698.66,outofcamp
Nigeria,Niger,Bida,286603,1,232148.43,48722.51,5732.06,0,0,5732.06,outofcamp
Nigeria,Jigawa,TAURA,192491,1,161692.44,25023.83,5774.73,0,0,5774.73,outofcamp
Nigeria,Benue,OGBADIBO,193467,1,156708.27,30954.72,5804.01,0,0,5804.01,outofcamp
Nigeria,Sokoto,SOKOTO SOUTH,290232,1,249599.52,34827.84,5804.64,0,0,5804.64,outofcamp
Nigeria,Kaduna,Ikara,292520,1,236941.2,49728.4,5850.4,0,0,5850.4,outofcamp
Nigeria,Jigawa,SULE TANKARKAR,196800,1,165312,25584,5904,0,0,5904,outofcamp
Nigeria,Plateau,L/North,205070,1,166106.7,32811.2,6152.1,0,0,6152.1,outofcamp
Nigeria,Niger,Mariga,308299,1,258971.16,43161.86,6165.98,0,0,6165.98,outofcamp
Nigeria,Katsina,Rimi,208000,1,168480,33280,6240,0,0,6240,outofcamp
Nigeria,Gombe,Nafada,208112,1,170651.84,31216.8,6243.36,0,0,6243.36,outofcamp
Nigeria,Kano,TOFA ,156682,1,130046.06,20368.66,6267.28,0,0,6267.28,outofcamp
Nigeria,Plateau,Jos East,127237,1,104334.34,16540.81,6361.85,0,0,6361.85,outofcamp
Nigeria,Sokoto,TAMBUWAL,323813,1,272002.92,45333.82,6476.26,0,0,6476.26,outofcamp
Nigeria,Niger,Lavun,324139,1,262552.59,55103.63,6482.78,0,0,6482.78,outofcamp
Nigeria,Kano,R/GADO ,164258,1,136334.14,21353.54,6570.32,0,0,6570.32,outofcamp
Nigeria,Jigawa,GARKI,219351,1,184254.84,28515.63,6580.53,0,0,6580.53,outofcamp
Nigeria,Niger,Mashegu,332388,1,279205.92,46534.32,6647.76,0,0,6647.76,outofcamp
Nigeria,Sokoto,SOKOTO NORTH,333182,1,286536.52,39981.84,6663.64,0,0,6663.64,outofcamp
Nigeria,Jigawa,JAHUN,335582,1,288600.52,40269.84,6711.64,0,0,6711.64,outofcamp
Nigeria,FCT,BWARI,673794,1,586200.78,80855.28,6737.94,0,0,6737.94,outofcamp
Nigeria,Katsina,Jibia,226000,1,183060,36160,6780,0,0,6780,outofcamp
Nigeria,Borno,Kwaya Kusar,135655,2,94958.5,33913.75,6782.75,0,0,6782.75,outofcamp
Nigeria,Niger,Bosso,228814,1,185339.34,36610.24,6864.42,0,0,6864.42,outofcamp
Nigeria,Katsina,Dutsinma,229200,1,185652,36672,6876,0,0,6876,outofcamp
Nigeria,Plateau,Wase,230351,1,198101.86,25338.61,6910.53,0,0,6910.53,outofcamp
Nigeria,Sokoto,GWDABAWA,345568,1,304099.84,34556.8,6911.36,0,0,6911.36,outofcamp
Nigeria,Taraba,WUKARI,349834,1,290362.22,52475.1,6996.68,0,0,6996.68,outofcamp
Nigeria,Kano,KUNCHI ,175062,1,145301.46,22758.06,7002.48,0,0,7002.48,outofcamp
Nigeria,Jigawa,KAZAURE,235262,1,197620.08,30584.06,7057.86,0,0,7057.86,outofcamp
Nigeria,Benue,MAKURDI,443651,1,365568.424,70984.16,7098.416,0,0,7098.416,outofcamp
Nigeria,Plateau,Kanam,241530,1,207715.8,26568.3,7245.9,0,0,7245.9,outofcamp
Nigeria,Bauchi,Giade,242427,2,186668.79,48485.4,7272.81,0,0,7272.81,outofcamp
Nigeria,Niger,Paikoro,244347,1,197921.07,39095.52,7330.41,0,0,7330.41,outofcamp
Nigeria,Jigawa,DUTSE,366607,1,315282.02,43992.84,7332.14,0,0,7332.14,outofcamp
Nigeria,Katsina,Kaita,246200,1,199422,39392,7386,0,0,7386,outofcamp
Nigeria,Niger,Mokwa,372011,1,301328.91,63241.87,7440.22,0,0,7440.22,outofcamp
Nigeria,Katsina,Safana,250000,1,202500,40000,7500,0,0,7500,outofcamp
Nigeria,Bauchi,Bauchi,762653,1,617748.93,137277.54,7626.53,0,0,7626.53,outofcamp
Nigeria,Katsina,Batagarwa,255200,1,206712,40832,7656,0,0,7656,outofcamp
Nigeria,Sokoto,GADA,385468,1,339211.84,38546.8,7709.36,0,0,7709.36,outofcamp
Nigeria,Jigawa,MAIGATARI,258468,1,217113.12,33600.84,7754.04,0,0,7754.04,outofcamp
Nigeria,Plateau,Bokkos,258722,1,222500.92,28459.42,7761.66,0,0,7761.66,outofcamp
Nigeria,Bauchi,Darazo,388573,1,318629.86,62171.68,7771.46,0,0,7771.46,outofcamp
Nigeria,Jigawa,K/HAUSA,390181,1,335555.66,46821.72,7803.62,0,0,7803.62,outofcamp
Nigeria,Borno,Damboa,31566,3,14204.7,9469.8,7891.5,0,0,7891.5,incamp
Nigeria,Jigawa,GWARAM,396143,1,340682.98,47537.16,7922.86,0,0,7922.86,outofcamp
