country,region,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cote d’Ivoire,Centre Ouest,4707518,NA,NA,NA,NA,NA,NA,NA
Cote d’Ivoire,Centre,1338600,1,NA,174018,13386,NA,NA,13386
Cote d’Ivoire,Centre Est,651640,NA,NA,0,0,NA,NA,0
Cote d’Ivoire,Centre Nord,1783618,2,NA,231870.34,17836.18,NA,NA,17836.18
Cote d’Ivoire,Nord,1534629,2,NA,322272.09,15346.29,NA,NA,15346.29
Cote d’Ivoire,Nord Est,1157163,2,NA,405007.05,11571.63,NA,NA,11571.63
Cote d’Ivoire,Nord Ouest,1221796,2,NA,146615.52,12217.96,NA,NA,12217.96
Cote d’Ivoire,Ouest,2385692,2,NA,310139.96,23856.92,NA,NA,23856.92
Cote d’Ivoire,Sud,2628215,NA,NA,0,0,NA,NA,0
Cote d’Ivoire,Sud Ouest,2303169,1,NA,230316.9,23031.69,NA,NA,23031.69
