country,region,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cote d’Ivoire,Centre Ouest,4103952,1,3529398.72,533513.76,41039.52,0,0,41039.52
Cote d’Ivoire,Centre Est,1266423.967152,1,1165110.04977984,88649.67770064,12664.23967152,0,0,12664.23967152
Cote d’Ivoire,Nord Ouest,1194701,1,1003548.84,167258.14,23894.02,0,0,23894.02
Cote d’Ivoire,Nord,1692174,2,1336817.46,304591.32,50765.22,0,0,50765.22
Cote d’Ivoire,Nord Est,983569.925952,1,895048.63261632,78685.59407616,9835.69925952,0,0,9835.69925952
Cote d’Ivoire,Centre,953711.823888,1,867877.75973808,85834.06414992,0,0,0,0
Cote d’Ivoire,Centre Nord,1516723,1,1274047.32,227508.45,15167.23,0,0,15167.23
Cote d’Ivoire,Ouest,3765661,2,2786589.14,828445.42,150626.44,0,0,150626.44
Cote d’Ivoire,Sud,1555905,1,1478109.75,77795.25,0,0,0,0
Cote d’Ivoire,Sud Ouest,2400678,1,2088589.86,264074.58,48013.56,0,0,48013.56
