country,region,adm1,adm2,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cote d’Ivoire,PAD C,BELIER ,,397183,1,357465,35746,3972,0,0,3972
Cote d’Ivoire,PAD N,PORO,,942103,1,819630,103631,18842,0,0,18842
Cote d’Ivoire,PAD E,INDIENE DJUABLIN ,,637114,1,567031,63711,6371,0,0,6371
Cote d’Ivoire,PAD S,LA ME ,,551325,1,496193,49619,5513,0,0,5513
Cote d’Ivoire,PAD N,TCHOLOGO,,595035,1,541482,53553,0,0,0,0
Cote d’Ivoire,PAD NO,WORODOUGOU,,292005,1,268645,23360,0,0,0,0
Cote d’Ivoire,PAD NO,KABADOUGOU,,210885,1,189797,21089,0,0,0,0
Cote d’Ivoire,PAD N,BAGOUE ,,459894,1,409306,50588,0,0,0,0
Cote d’Ivoire,PAD O,GUEMON ,,1087300,1,989443,97857,0,0,0,0
Cote d’Ivoire,PAD CO,HAUT SASSANDRA,,1500932,1,1380857,120075,0,0,0,0
Cote d’Ivoire,PAD CO,MARAHOUE ,,978377,1,909891,68486,0,0,0,0
Cote d’Ivoire,PAS NO,FOLON ,,110101,1,99091,11010,0,0,0,0
Cote d’Ivoire,PAD CN,HAMBOL,,505209,1,464792,40417,0,0,0,0
Cote d’Ivoire,,TONKPI,,1122746,0,0,0,0,0,0,0
Cote d’Ivoire,,GONTOUGO,,713233,0,0,0,0,0,0,0
Cote d’Ivoire,,SAN-PEDRO,,867089,0,0,0,0,0,0,0
Cote d’Ivoire,,N'ZI,,298857,0,0,0,0,0,0,0
Cote d’Ivoire,,SUD-COMOE,,677761,0,0,0,0,0,0,0
Cote d’Ivoire,,LÔH-DJIBOUA,,818642,0,0,0,0,0,0,0
Cote d’Ivoire,,AGNEBY-TIASSA,,687819,0,0,0,0,0,0,0
Cote d’Ivoire,,GÔH,,1051256,0,0,0,0,0,0,0
Cote d’Ivoire,,CAVALLY,,482456,0,0,0,0,0,0,0
Cote d’Ivoire,,BAFING,,215720,0,0,0,0,0,0,0
Cote d’Ivoire,,BERE,,449334,0,0,0,0,0,0,0
Cote d’Ivoire,,BOUNKANI,,305550,0,0,0,0,0,0,0
Cote d’Ivoire,,GBÔKLE,,420396,0,0,0,0,0,0,0
Cote d’Ivoire,,GRANDS-PONTS,,372062,0,0,0,0,0,0,0
Cote d’Ivoire,,GBEKE,,1094756,0,0,0,0,0,0,0
Cote d’Ivoire,,IFFOU,,382067,0,0,0,0,0,0,0
Cote d’Ivoire,,NAWA,,1104579,0,0,0,0,0,0,0
Cote d’Ivoire,,MORONOU,,420995,0,0,0,0,0,0,0
