country,region,pop,classif,phase1,phase2,phase3,phase4,phase5,phase35
Cote d’Ivoire,Centre Ouest,4707518,NA,NA,0,0,0,0,0
Cote d’Ivoire,Centre,1338600,1,NA,160632,6693,0,0,6693
Cote d’Ivoire,Centre Est,651640,NA,NA,0,0,0,0,0
Cote d’Ivoire,Centre Nord,1783618,1,NA,214034.16,8918.09,0,0,8918.09
Cote d’Ivoire,Nord,1534629,2,NA,314598.945,7673.145,0,0,7673.145
Cote d’Ivoire,Nord Est,1157163,2,NA,393435.42,5785.815,0,0,5785.815
Cote d’Ivoire,Nord Ouest,1221796,1,NA,134397.56,12217.96,0,0,12217.96
Cote d’Ivoire,Ouest,2385692,1,NA,286283.04,23856.92,0,0,23856.92
Cote d’Ivoire,Sud,2628215,NA,NA,0,0,0,0,0
Cote d’Ivoire,Sud Ouest,2303169,1,NA,195769.365,11515.845,0,0,11515.845
